,,,,,,,,
,External Sector selected indicators,,,,,,,
,"Current Account, Goods and Services, Net, US Dollars",,,,,,,
,,,,,,,,
,Source: International Financial Statistics (IFS),,,,,,,
,,,,,,,,
,Country,Scale,Base Year,2017,2018,2019,2020,2021
,"Afghanistan, Islamic Rep. of",Millions,,"-6,803.56","-6,378.17","-5,855.06","-5,506.55",...
,Albania,Millions,,"-1,978.66","-2,069.59","-2,103.43","-2,210.46","-2,392.17"
,Algeria,Millions,,"-22,402.64","-15,701.39","-15,707.64","-17,445.13","-2,546.28"
,"Andorra, Principality of",Millions,,...,...,302.80,114.55,...
,Angola,Millions,,"7,341.50","15,501.54","12,880.81","5,858.76","14,829.79"
,Anguilla,Millions,,-13.10,-200.80,-128.23,-114.16,-149.11
,Antigua and Barbuda,Millions,,17.93,-94.94,13.66,-148.47,-114.60
,Argentina,Millions,,"-15,142.50","-9,678.50","13,390.55","12,092.40","15,052.83"
,"Armenia, Rep. of",Millions,,"-1,243.55","-1,752.74","-1,808.98","-1,264.11","-1,107.86"
,"Aruba, Kingdom of the Netherlands",Millions,,267.37,287.40,321.66,-200.49,253.59
,Australia,Millions,,"7,240.69","15,601.72","47,467.24","50,453.09","90,807.78"
,Austria,Millions,,"12,470.32","13,271.15","15,746.44","12,997.59","2,507.55"
,"Azerbaijan, Rep. of",Millions,,"2,735.43","7,779.27","5,917.28",-329.07,"9,150.72"
,"Bahamas, The",Millions,,"-1,158.78",-364.42,324.22,"-1,760.45","-1,722.27"
,"Bahrain, Kingdom of",Millions,,"2,855.85","2,910.37",...,...,...
,Bangladesh,Millions,,"-17,594.49","-21,457.17","-19,272.61","-18,300.38","-36,008.21"
,Barbados,Millions,,15.07,...,...,...,...
,"Belarus, Rep. of",Millions,,100.10,929.10,-403.00,"1,947.60","3,970.55"
,Belgium,Millions,,"5,262.61","-1,650.68","3,344.46","8,875.92","6,605.27"
,Belize,Millions,,-56.98,-83.79,-100.72,-187.20,-208.07
,Benin,Millions,,-703.52,-821.05,-721.67,-435.72,-771.73
,Bermuda,Millions,,-649.15,-611.55,-618.77,-696.02,-801.88
,Bhutan,Millions,,-518.57,-462.86,-452.20,-401.80,-284.91
,Bolivia,Millions,,"-2,173.22","-1,992.41","-1,686.18",-634.88,679.10
,Bosnia and Herzegovina,Millions,,"-2,940.15","-2,963.55","-2,957.32","-2,789.46","-2,777.97"
,Botswana,Millions,,623.19,169.94,"-1,467.06","-2,603.33","-1,345.94"
,Brazil,Millions,,"15,696.76","4,045.10","-11,934.21","7,712.51","9,406.38"
,Brunei Darussalam,Millions,,"1,705.23","1,359.24","1,021.91",503.99,"1,982.72"
,Bulgaria,Millions,,"2,608.88","1,612.30","2,198.59","1,343.92","1,445.73"
,Burkina Faso,Millions,,-898.23,-655.59,-555.48,576.82,398.79
,Burundi,Millions,,-614.74,-620.19,...,...,...
,Cabo Verde,Millions,,-384.09,-366.36,-281.31,-584.43,-652.11
,Cambodia,Millions,,"-2,414.81","-3,448.79","-4,443.12","-2,800.99","-12,703.98"
,Cameroon,Millions,,-722.60,"-1,121.43","-1,354.60","-1,088.01","-1,578.53"
,Canada,Millions,,"-36,237.67","-33,732.77","-25,538.10","-36,829.77",-877.79
,Cayman Islands,Millions,,"1,581.28","1,441.23","1,462.42","1,144.45",...
,Chile,Millions,,"1,879.85","-2,932.91","-5,068.93","11,615.62","-1,451.17"
,"China, P.R.: Hong Kong",Millions,,"3,429.56",-765.45,"5,667.63","6,664.18","20,534.61"
,"China, P.R.: Macao",Millions,,"23,267.52","27,326.55","27,962.98",514.41,"3,596.32"
,"China, P.R.: Mainland",Millions,,"217,009.90","87,905.15","131,844.30","358,572.61","462,807.89"
,Colombia,Millions,,"-8,761.51","-10,556.19","-14,146.15","-13,089.98","-20,032.27"
,"Comoros, Union of the",Millions,,-177.10,-206.26,-211.18,-274.67,-267.54
,"Congo, Dem. Rep. of the",Millions,,"-1,406.38","-1,692.79","-1,718.52",-624.34,160.71
,"Congo, Rep. of",Millions,,...,...,"2,910.20","1,391.32",...
