,country,ISO,region,north_south,year,population,GDP,inflation,unemployment,GDP Per Capita
0,Australia,AUS,Asia & Pacific,Global North,2021,25688079,1552667363236.06,2.86391042204995,5.11999988555908,60443.10916499673
1,Australia,AUS,Asia & Pacific,Global North,2020,25655289,1326901059123.21,0.846905537459293,6.46000003814697,51720.37076344024
2,Australia,AUS,Asia & Pacific,Global North,2019,25340217,1392227864397.08,1.61076787290379,5.15999984741211,54941.43417939476
3,Australia,AUS,Asia & Pacific,Global North,2018,24966643,1428288504767.07,1.91140094445692,5.30000019073486,57207.87150948047
4,Austria,AUT,Europe,Global North,2021,8955797,480368403893.364,2.76666666666665,6.46000003814697,53637.705710989656
5,Austria,AUT,Europe,Global North,2020,8916864,435225238000.437,1.38191063351859,5.19999980926514,48809.22687622431
6,Austria,AUT,Europe,Global North,2019,8879920,444621176100.548,1.53089564152645,4.55999994277954,50070.40334829007
7,Austria,AUT,Europe,Global North,2018,8840521,454991174096.102,1.99837981429546,4.92999982833862,51466.5565633634
8,Azerbaijan,AZE,Asia & Pacific,Global North,2021,10137750,54622176470.5882,6.65029912708779,5.94999980926514,5387.9979749538315
9,Azerbaijan,AZE,Asia & Pacific,Global North,2020,10093121,42693000000.0,2.75980947008126,7.15999984741211,4229.910649045028
10,Azerbaijan,AZE,Asia & Pacific,Global North,2019,10024283,48174235294.1176,2.61057182799216,4.84999990463257,4805.753717659169
11,Azerbaijan,AZE,Asia & Pacific,Global North,2018,9939771,47112941176.4706,2.26854690374005,4.94000005722046,4739.8417102839285
12,Belarus,BLR,Europe,Global North,2021,9340314,68205380706.6609,9.46028389623105,3.90000009536743,7302.2577941877435
13,Belarus,BLR,Europe,Global North,2020,9379952,61371126414.1663,5.54814357456511,4.05000019073486,6542.797491305531
14,Belarus,BLR,Europe,Global North,2019,9419758,64409647193.8044,5.59815595039851,4.15999984741211,6837.717826063515
15,Belarus,BLR,Europe,Global North,2018,9438785,60031262269.3365,4.87230220550689,4.76000022888184,6360.06247301284
16,Belgium,BEL,Europe,Global North,2021,11592952,594104177539.525,2.44024851144081,6.26000022888184,51247.014353162594
17,Belgium,BEL,Europe,Global North,2020,11538604,525211810652.608,0.740791812220385,5.55000019073486,45517.79493018462
18,Belgium,BEL,Europe,Global North,2019,11488980,535830876745.097,1.43681956996435,5.3600001335144,46638.681305485516
19,Belgium,BEL,Europe,Global North,2018,11427054,543299066998.902,2.05316499865181,5.94999980926514,47544.98114727575
20,Bhutan,BTN,Asia & Pacific,Global South,2021,777486,2539552984.67797,7.34683859830958,4.80000019073486,3266.3649051918233
21,Bhutan,BTN,Asia & Pacific,Global South,2020,772506,2325184481.4277,5.62999177986902,5.03000020980835,3009.9241707219103
22,Bhutan,BTN,Asia & Pacific,Global South,2019,767459,2535657069.05537,2.72582104307304,2.72000002861023,3303.964210538113
23,Bhutan,BTN,Asia & Pacific,Global South,2018,762096,2446866404.93058,2.72396386183716,3.34999990463257,3210.7062691978176
24,Bolivia,BOL,South/Latin America,Global South,2021,12079472,40408208528.1599,0.737383721452315,5.09000015258789,3345.196588738307
25,Bolivia,BOL,South/Latin America,Global South,2020,11936162,36629843805.0216,0.940742153381823,7.90000009536743,3068.812555076045
26,Bolivia,BOL,South/Latin America,Global South,2019,11777315,40895322843.7851,1.83954504969032,3.6800000667572,3472.3808307568493
27,Bolivia,BOL,South/Latin America,Global South,2018,11606905,40287647930.4761,2.27205987230148,3.51999998092651,3471.006950644991
28,Bosnia and Herzegovina,BIH,Europe,Global North,2021,3270943,23365361635.2201,1.98163900587616,14.8999996185303,7143.310548432089
29,Bosnia and Herzegovina,BIH,Europe,Global North,2020,3318407,19950471170.6465,-1.05129600763481,15.8699998855591,6012.062767058562
30,Bosnia and Herzegovina,BIH,Europe,Global North,2019,3360711,20202479537.5193,0.562782154061303,15.6899995803833,6011.370670527545
31,Bosnia and Herzegovina,BIH,Europe,Global North,2018,3400129,20183510863.0054,1.41710814018026,18.3999996185303,5936.101501738729
32,Brazil,BRA,South/Latin America,Global South,2021,214326223,1608981456325.08,8.30165975585676,13.1599998474121,7507.160970802346
33,Brazil,BRA,South/Latin America,Global South,2020,213196304,1448559976218.19,3.21176803803379,13.6999998092651,6794.489158771673
34,Brazil,BRA,South/Latin America,Global South,2019,211782878,1873274432754.47,3.73297621216894,11.9399995803833,8845.25911841877
35,Brazil,BRA,South/Latin America,Global South,2018,210166592,1916947014067.55,3.66485028376724,12.3299999237061,9121.083402577846
36,Brunei Darussalam,BRN,Asia & Pacific,Global South,2021,445373,14006569575.68,1.73341388450597,4.90999984741211,31449.07656207269
37,Brunei Darussalam,BRN,Asia & Pacific,Global South,2020,441725,12005825759.223,1.94031996607178,7.40999984741211,27179.41198533703
38,Brunei Darussalam,BRN,Asia & Pacific,Global South,2019,438048,13469422958.5105,-0.390522069165492,6.59999990463257,30748.737486555125
39,Brunei Darussalam,BRN,Asia & Pacific,Global South,2018,434274,13567351175.0315,1.02505179290213,8.69999980926514,31241.453955409488
40,Bulgaria,BGR,Europe,Global North,2021,6877743,84056312734.3089,3.29774435299511,5.26999998092651,12221.496606417091
41,Bulgaria,BGR,Europe,Global North,2020,6934015,70240275010.1964,1.67244096855762,5.11999988555908,10129.812959763773
