,,,,,,,,
,Exchange Rates selected indicators,,,,,,,
,"National Currency per U.S. Dollar, end of period",,,,,,,
,,,,,,,,
,Source: International Financial Statistics (IFS),,,,,,,
,,,,,,,,
,Country,Scale,Base Year,2017,2018,2019,2020,2021
,"Afghanistan, Islamic Rep. of",Units,,69.49,74.96,78.41,77.11,...
,Albania,Units,,111.10,107.82,108.64,100.84,106.54
,Algeria,Units,,114.93,118.29,119.16,132.13,138.84
,"Andorra, Principality of",Units,,...,...,...,0.81,0.88
,Angola,Units,,165.92,308.61,482.23,656.23,554.98
,Anguilla,Units,,2.70,2.70,2.70,2.70,2.70
,Antigua and Barbuda,Units,,2.70,2.70,2.70,2.70,2.70
,Argentina,Units,,18.60,37.60,59.79,84.05,102.62
,"Armenia, Rep. of",Units,,484.10,483.75,479.70,522.59,480.14
,"Aruba, Kingdom of the Netherlands",Units,,1.79,1.79,1.79,1.79,1.79
,Australia,Units,,1.28,1.42,1.43,1.30,1.38
,"Azerbaijan, Rep. of",Units,,1.70,1.70,1.70,1.70,1.70
,"Bahamas, The",Units,,1.00,1.00,1.00,1.00,1.00
,"Bahrain, Kingdom of",Units,,0.38,0.38,0.38,0.38,0.38
,Bangladesh,Units,,82.70,83.90,84.90,84.80,85.80
,Barbados,Units,,2.00,2.00,2.00,2.00,2.00
,"Belarus, Rep. of",Units,,1.97,2.16,2.10,2.58,2.55
,Belize,Units,,2.00,2.00,2.00,2.00,2.00
,Benin,Units,,546.95,572.89,583.90,534.56,579.16
,Bermuda,Units,,1.00,1.00,1.00,1.00,1.00
,Bhutan,Units,,63.93,69.79,71.27,73.05,75.35
,Bolivia,Units,,6.91,6.91,6.91,6.91,6.91
,Bosnia and Herzegovina,Units,,1.63,1.71,1.75,1.59,1.73
,Botswana,Units,,9.87,10.73,10.62,10.79,11.74
,Brazil,Units,,3.31,3.87,4.03,5.20,5.58
,Brunei Darussalam,Units,,1.34,1.37,1.35,1.34,1.36
,Bulgaria,Units,,1.63,1.71,1.74,1.59,1.73
,Burkina Faso,Units,,546.95,572.89,583.90,534.56,579.16
,Burundi,Units,,"1,766.70","1,808.27","1,881.60","1,946.40","2,006.10"
,Cabo Verde,Units,,92.40,96.27,98.55,89.79,97.55
,Cambodia,Units,,"4,041.50","4,033.00","4,084.00","4,076.50","4,113.50"
,Cameroon,Units,,546.95,572.89,583.90,534.56,579.16
,Canada,Units,,1.25,1.36,1.31,1.29,1.29
,Cayman Islands,Units,,0.83,0.83,0.83,0.83,0.83
,Central African Rep.,Units,,546.95,572.89,583.90,534.56,579.16
,Chad,Units,,546.95,572.89,583.90,534.56,579.16
,Chile,Units,,615.22,695.69,744.62,728.96,866.25
,"China, P.R.: Hong Kong",Units,,7.81,7.83,7.79,7.75,7.80
,"China, P.R.: Macao",Units,,8.05,8.07,8.02,7.99,8.03
,"China, P.R.: Mainland",Units,,6.51,6.85,6.99,6.53,6.37
,Colombia,Units,,"2,971.63","3,275.01","3,277.14","3,432.50","3,981.16"
,"Comoros, Union of the",Units,,410.21,429.67,437.93,400.92,434.37
,"Congo, Dem. Rep. of the",Units,,"1,592.19","1,635.62","1,672.95","1,971.81","1,999.97"
,"Congo, Rep. of",Units,,546.95,572.89,583.90,534.56,579.16
,Costa Rica,Units,,569.49,608.07,573.29,613.92,642.16
,Côte d'Ivoire,Units,,546.95,572.89,583.90,534.56,579.16
,"Croatia, Rep. of",Units,,6.27,6.47,6.65,6.14,6.64
,Curaçao and Sint Maarten,Units,,1.79,1.79,1.79,1.79,1.79
,"Curaçao, Kingdom of the Netherlands",Units,,1.79,1.79,1.79,1.79,1.79
