"Prices, Production, and Labor selected indicators",,,,,
Consumer Prices,,,,,
,,,,,
Source: International Financial Statistics (IFS),,,,,
,,,,,
Country,2017,2018,2019,2020,2021
"Afghanistan, Islamic Rep. of",145.61,146.52,149.9,...,...
Albania,115.06,117.39,119.05,120.98,123.45
Algeria,142.38,148.46,151.36,155.02,166.22
Angola,271.02,324.22,379.6,464.14,583.68
Anguilla,105.86,106.26,107.12,106.61,108.53
Antigua and Barbuda,112.45,113.81,115.44,116.16,118.56
"Armenia, Rep. of",124.21,127.34,129.18,130.74,140.13
"Aruba, Kingdom of the Netherlands",101.39,105.06,109.53,...,...
Australia,115.69,117.9,119.8,120.81,124.27
Austria,114,116.28,118.06,119.69,123
"Azerbaijan, Rep. of",149.51,152.9,156.89,161.22,171.94
"Bahamas, The",110.88,113.39,116.22,116.26,119.64
"Bahrain, Kingdom of",115.18,117.59,118.77,116.02,115.32
Bangladesh,161.23,170.16,179.68,189.91,200.44
Barbados,124.25,128.81,134.09,...,...
"Belarus, Rep. of",459.03,481.39,508.34,536.54,587.3
Belgium,113.13,115.45,117.11,117.98,120.86
Belize,105.68,105.96,106.16,106.29,109.73
Benin,110.79,111.51,110.72,114.07,116.04
Bhutan,158.43,162.75,167.18,176.59,189.57
Bolivia,142.4,145.64,148.32,149.71,150.82
Bosnia and Herzegovina,102.85,104.31,104.9,103.79,105.85
Botswana,141.14,145.71,149.75,152.58,163.63
Brazil,155.67,161.37,167.4,172.77,187.12
Brunei Darussalam,98.41,99.42,99.03,100.95,102.7
Bulgaria,107.94,110.97,114.42,116.33,120.17
Burkina Faso,109.83,111.98,108.36,110.4,114.43
Burundi,188.68,183.37,182.11,195.44,211.87
Cabo Verde,107.94,109.29,110.5,111.17,113.24
Cambodia,124.57,127.63,130.11,133.94,137.85
Cameroon,114.58,115.81,118.65,121.54,124.3
Canada,111.98,114.52,116.76,117.59,121.59
Central African Rep.,145.47,147.82,151.79,154.38,160.96
Chad,113.98,118.85,117.7,122.95,122
Chile,125.57,128.62,131.91,135.93,142.08
"China, P.R.: Hong Kong",127.8,130.87,134.65,134.99,137.1
"China, P.R.: Macao",136.1,140.19,144.05,145.21,145.25
"China, P.R.: Mainland",119.09,121.56,125.08,128.11,129.37
Colombia,131.88,136.15,140.95,144.51,149.56
"Congo, Rep. of",120.66,122.05,124.74,126.98,129.16
Costa Rica,123.46,126.2,128.85,129.78,132.02
Côte d'Ivoire,112.45,112.86,111.61,114.31,118.99
"Croatia, Rep. of",107.36,108.97,109.82,109.99,112.8
"Curaçao, Kingdom of the Netherlands",109.75,112.58,115.53,...,...
Cyprus,100.81,102.25,102.51,101.86,104.35
Czech Rep.,110.87,113.25,116.48,120.16,124.77
Denmark,108.63,109.52,110.35,110.81,112.86
Djibouti,116.22,116.39,120.25,122.39,...
Dominica,102.85,103.87,105.43,104.67,...
Dominican Rep.,125.35,129.82,132.17,137.17,148.48
Ecuador,124.09,123.81,124.14,123.72,123.89
"Egypt, Arab Rep. of",231.09,264.38,288.57,303.13,318.94
El Salvador,109.95,111.14,111.23,110.82,114.66
"Equatorial Guinea, Rep. of",121.19,122.83,124.35,130.28,...
"Estonia, Rep. of",115.46,119.42,122.14,121.6,127.26
"Eswatini, Kingdom of",155.13,162.6,166.82,...,...
"Ethiopia, The Federal Dem. Rep. of",244.65,278.49,322.52,388.17,492.36
"Fiji, Rep. of",124.89,129.99,132.3,128.86,129.06
Finland,110,111.19,112.33,112.66,115.13
France,106.86,108.84,110.05,110.57,112.39
Gabon,114.25,119.68,122.63,124.29,125.64
"Gambia, The",151.38,161.26,172.73,182.98,196.46
Georgia,124.18,127.43,133.61,140.56,154.01
Germany,109.35,111.25,112.85,113.02,116.48
Ghana,241.06,259.89,278.45,305.98,336.49
