,,,,,,,,,
,Interest Rates selected indicators,,,,,,,,
,"Financial, Interest Rates, Lending Rate, Percent per annum",,,,,,,,
,,,,,,,,,
,Source: International Financial Statistics (IFS),,,,,,,,
,,,,,,,,,
,Country,Scale,Base Year,2017,2018,2019,2020,2021,2022
,"Afghanistan, Islamic Rep. of",Units,,14.84,...,...,...,...,...
,Albania,Units,,6.22,5.93,6.28,6.12,6.02,6.51
,Algeria,Units,,8.00,8.00,8.00,8.00,8.00,8.00
,Angola,Units,,15.81,20.68,19.30,19.66,19.40,20.12
,Anguilla,Units,,9.48,9.29,8.89,8.84,7.80,6.89
,Antigua and Barbuda,Units,,9.31,8.98,8.61,7.68,7.39,7.33
,Argentina,Units,,26.58,48.52,67.25,29.39,35.56,52.40
,"Armenia, Rep. of",Units,,14.41,12.79,12.14,11.62,11.76,11.72
,"Aruba, Kingdom of the Netherlands",Units,,6.30,6.00,5.70,6.80,...,...
,Australia,Units,,5.25,5.26,5.10,...,...,...
,"Azerbaijan, Rep. of",Units,,16.54,17.45,17.28,17.18,16.43,14.59
,"Bahamas, The",Units,,4.25,4.25,4.25,4.25,4.25,4.25
,Bangladesh,Units,,9.54,9.65,9.56,8.30,7.32,7.12
,Barbados,Units,,8.05,8.05,8.05,8.05,8.05,...
,"Belarus, Rep. of",Units,,9.66,8.70,9.02,9.03,10.12,12.72
,Belize,Units,,9.46,9.12,9.07,8.73,8.44,8.52
,Benin,Units,,6.93,6.76,6.69,6.54,6.25,...
,Bhutan,Units,,14.25,14.00,14.00,14.00,14.00,...
,Bolivia,Units,,8.11,8.04,8.40,7.59,8.02,7.76
,Bosnia and Herzegovina,Units,,4.38,3.79,3.29,3.07,3.20,3.36
,Botswana,Units,,6.88,6.50,6.40,5.75,5.25,6.13
,Brazil,Units,,46.92,39.08,37.48,29.04,30.02,39.38
,Brunei Darussalam,Units,,5.50,5.50,5.50,5.50,5.50,5.50
,Bulgaria,Units,,5.44,4.96,4.55,4.34,4.12,3.75
,Burkina Faso,Units,,6.51,6.76,6.69,6.54,6.25,...
,Burundi,Units,,14.80,14.79,14.53,12.20,12.86,11.77
,Cabo Verde,Units,,9.49,8.97,9.14,8.19,7.62,7.83
,Canada,Units,,2.70,...,...,...,...,...
,Chile,Units,,4.55,4.18,...,...,...,...
,"China, P.R.: Hong Kong",Units,,5.00,5.04,5.10,5.00,5.00,5.10
,"China, P.R.: Macao",Units,,5.25,5.29,5.36,5.26,5.26,5.34
,"China, P.R.: Mainland",Units,,4.35,4.35,4.35,4.35,4.35,4.35
,Colombia,Units,,13.69,12.11,11.77,9.85,9.34,15.81
,"Comoros, Union of the",Units,,10.50,10.50,10.50,8.09,7.88,8.03
,"Congo, Dem. Rep. of the",Units,,20.62,24.75,26.74,25.96,23.29,...
,Costa Rica,Units,,11.37,11.12,8.75,6.64,5.51,7.36
,Côte d'Ivoire,Units,,5.14,...,...,...,...,...
,Czech Rep.,Units,,3.59,3.54,3.69,3.34,3.20,4.22
,Dominica,Units,,8.08,7.81,7.54,6.90,6.30,6.67
,Dominican Rep.,Units,,13.91,12.53,12.49,10.98,9.61,11.85
,"Egypt, Arab Rep. of",Units,,18.18,18.32,16.12,11.37,9.43,10.58
,"Eswatini, Kingdom of",Units,,10.75,10.31,10.13,7.96,7.25,8.50
,"Fiji, Rep. of",Units,,5.74,5.68,6.03,6.18,5.94,5.50
,"Gambia, The",Units,,29.00,28.00,28.00,28.00,19.50,...
,Georgia,Units,,11.49,11.12,10.82,11.80,12.51,13.66
,Grenada,Units,,8.31,7.84,7.57,6.83,6.55,6.25
,Guatemala,Units,,13.05,12.92,12.74,12.53,12.19,11.92
,Guinea-Bissau,Units,,5.14,...,...,...,...,...
,Guyana,Units,,13.00,13.00,10.48,9.47,8.88,...
,Haiti,Units,,12.75,13.10,14.12,14.63,13.35,...
,Honduras,Units,,19.26,17.80,17.34,17.01,15.97,14.61
,Hungary,Units,,1.48,1.47,1.79,1.96,2.96,10.66
,Iceland,Units,,7.26,6.96,6.95,5.76,5.40,7.60
,India,Units,,9.51,9.45,9.47,9.15,8.70,8.57
,Indonesia,Units,,11.07,10.54,10.37,9.54,8.92,8.52
,Israel,Units,,3.50,3.48,3.53,3.31,3.10,2.96
,Italy,Units,,3.00,2.68,2.60,2.33,2.03,2.26
,Jamaica,Units,,14.91,14.09,13.00,12.06,11.49,11.42
,Japan,Units,,0.99,...,...,...,...,...
,Jordan,Units,,8.39,8.66,8.67,7.48,7.03,7.49
,Kenya,Units,,13.67,13.06,12.44,12.00,12.08,...
,"Korea, Rep. of",Units,,3.48,3.66,3.45,2.80,2.88,4.29
,"Kosovo, Rep. of",Units,,6.83,6.65,...,...,...,...
,Kuwait,Units,,4.69,4.83,4.81,4.14,3.71,3.91
,Kyrgyz Rep.,Units,,19.82,19.51,19.00,17.04,16.62,...
,Lebanon,Units,,8.29,9.10,10.51,...,...,...
,"Lesotho, Kingdom of",Units,,11.58,11.35,11.33,8.98,8.21,8.98
,Liberia,Units,,13.25,...,...,...,...,...
,"Madagascar, Rep. of",Units,,60.00,55.39,49.00,48.87,48.28,48.83
,Malawi,Units,,38.59,32.29,25.67,24.22,23.88,...
,Malaysia,Units,,4.61,4.93,4.88,3.94,3.44,...
,Maldives,Units,,10.15,10.68,11.52,11.60,11.57,10.93
,Mali,Units,,5.14,...,...,...,...,...
,"Mauritania, Islamic Rep. of",Units,,17.00,...,...,...,...,...
,Mauritius,Units,,8.50,8.50,8.45,7.23,6.87,7.50
,Mexico,Units,,7.33,8.04,8.43,6.34,4.89,8.18
,"Micronesia, Federated States of",Units,,16.10,15.70,14.70,14.47,12.62,...
,"Moldova, Rep. of",Units,,10.36,8.85,8.25,8.18,7.40,11.80
,Mongolia,Units,,20.01,17.71,17.00,16.93,16.01,...
,Montenegro,Units,,7.20,6.53,6.18,5.91,5.76,5.64
,Montserrat,Units,,6.95,6.78,6.64,6.19,6.12,6.10
,"Mozambique, Rep. of",Units,,27.86,22.98,18.96,17.08,18.17,20.13
,Myanmar,Units,,16.00,16.00,16.00,14.83,...,...
,Namibia,Units,,10.03,10.14,9.88,7.87,6.86,8.61
,New Zealand,Units,,4.76,-,...,...,...,...
,Nicaragua,Units,,10.78,10.90,12.46,11.18,9.62,9.23
,Niger,Units,,5.14,...,...,...,...,...
,Nigeria,Units,,17.55,16.90,15.38,13.64,11.48,...
,"North Macedonia, Republic of",Units,,6.61,6.11,5.61,5.19,4.86,4.63
,Norway,Units,,3.01,2.93,3.24,2.70,2.27,3.24
,Oman,Units,,5.15,5.25,5.41,5.47,5.50,...
,Pakistan,Units,,8.21,8.53,12.23,10.76,8.67,...
,Panama,Units,,6.77,6.88,7.09,7.01,6.94,6.91
,Papua New Guinea,Units,,8.39,9.08,8.65,7.81,7.72,7.96
,Paraguay,Units,,16.98,15.72,15.48,13.54,12.51,...
,Peru,Units,,16.79,14.54,14.39,12.94,10.98,12.60
,Philippines,Units,,5.63,6.12,7.10,...,...,...
,Qatar,Units,,4.70,4.98,5.04,4.09,3.85,4.56
,Romania,Units,,5.56,6.81,7.16,6.49,5.61,7.76
,Russian Federation,Units,,10.56,8.87,8.75,6.78,7.18,11.46
,Rwanda,Units,,17.17,16.95,16.53,16.35,16.18,16.39
,Samoa,Units,,8.76,8.95,8.93,8.71,8.52,8.29
,"San Marino, Rep. of",Units,,4.07,4.16,3.98,3.73,3.53,...
,"São Tomé and Príncipe, Dem. Rep. of",Units,,19.61,19.87,19.06,18.83,18.49,...
,Senegal,Units,,5.14,...,...,...,...,...
,Seychelles,Units,,12.24,12.31,12.60,11.61,9.16,9.10
,Sierra Leone,Units,,15.66,15.96,17.97,17.94,18.86,...
,Singapore,Units,,5.28,5.33,5.25,5.25,5.25,...
,Solomon Islands,Units,,10.69,10.75,10.60,10.68,5.18,...
