,,,,,,,,,
,International Liquidity selected indicators,,,,,,,,
,"Total Reserves excluding Gold, US Dollars",,,,,,,,
,,,,,,,,,
,Source: International Financial Statistics (IFS),,,,,,,,
,,,,,,,,,
,Country,Scale,Base Year,2017,2018,2019,2020,2021,2022
,"Afghanistan, Islamic Rep. of",Millions,,"7,185.84","7,305.68","7,426.98","8,419.49",...,...
,Albania,Millions,,"3,523.76","3,829.48","3,626.59","4,647.19","5,470.75","5,085.23"
,Algeria,Millions,,"97,614.43","80,227.70","63,297.61","48,882.05","46,054.85","61,739.38"
,Angola,Millions,,"17,455.33","15,410.41","16,334.85","13,781.99","14,468.11","13,470.87"
,Anguilla,Millions,,76.38,65.51,58.71,52.81,56.30,75.47
,Antigua and Barbuda,Millions,,313.65,328.66,279.13,221.81,367.51,396.51
,Argentina,Millions,,"53,030.81","63,963.92","42,192.53","35,649.97","36,448.37","41,197.89"
,"Armenia, Rep. of",Millions,,"2,314.11","2,259.32","2,849.65","2,615.53","3,229.85","4,109.40"
,"Aruba, Kingdom of the Netherlands",Millions,,777.46,852.08,830.00,"1,023.47","1,330.95",...
,Australia,Millions,,"62,617.32","51,077.09","55,603.58","39,152.00","53,789.56","53,385.30"
,Austria,Millions,,"9,894.24","11,653.25","9,906.35","13,415.88","17,572.46","16,762.92"
,"Azerbaijan, Rep. of",Millions,,"6,680.45","6,665.91","7,042.90","7,633.63","8,307.16","11,290.11"
,"Bahamas, The",Millions,,"1,413.97","1,345.34","1,757.78","2,382.08","2,432.72",...
,"Bahrain, Kingdom of",Millions,,"2,628.65","2,142.03","3,674.20","2,239.41","4,720.18",...
,Bangladesh,Millions,,"32,849.19","31,452.74","32,012.89","42,322.36","45,348.05","32,929.53"
,Barbados,Millions,,265.84,533.91,772.12,"1,358.01","1,672.88",...
,"Belarus, Rep. of",Millions,,"5,375.41","5,222.91","7,006.67","4,426.89","5,301.81",...
,Belgium,Millions,,"16,672.73","17,486.66","17,835.33","19,470.40","28,565.62","28,023.46"
,Belize,Millions,,312.14,294.47,277.58,348.09,420.10,482.15
,Bhutan,Millions,,"1,206.24",987.25,"1,228.30","1,423.13",932.58,...
,Bolivia,Millions,,"8,473.88","7,177.83","4,373.78","2,662.44","2,242.41","1,274.91"
,Bosnia and Herzegovina,Millions,,"6,349.27","6,685.40","7,061.49","8,525.57","9,300.31","8,674.71"
,Botswana,Millions,,"7,490.51","6,656.91","6,170.22","4,940.89","4,801.61","4,278.95"
,Brazil,Millions,,"371,150.62","371,933.90","353,587.90","351,518.55","354,623.06","317,118.74"
,Brunei Darussalam,Millions,,"3,299.65","3,220.62","4,051.94","3,721.32","4,717.08",...
,Bulgaria,Millions,,"26,692.71","27,044.89","25,919.57","35,377.55","36,798.32","38,609.14"
,Burundi,Millions,,96.15,66.89,109.90,88.49,264.41,161.49
,Cabo Verde,Millions,,617.36,606.43,737.99,674.57,711.41,646.64
,Cambodia,Millions,,"11,262.00","13,373.24","17,033.07","18,563.83","17,317.63","14,738.49"
,Cameroon,Millions,,"3,196.79","3,459.33",...,...,...,...
,Canada,Millions,,"86,677.71","83,925.60","85,297.11","90,428.14","106,615.12","106,952.38"
,Cayman Islands,Millions,,...,162.07,183.50,216.80,228.30,...
,Central African Rep.,Millions,,362.72,361.80,350.31,432.52,483.87,...
,Chad,Millions,,8.58,147.75,310.03,390.68,211.59,...
,Chile,Millions,,"38,971.30","39,848.70","40,643.49","39,151.18","51,237.79","39,088.02"
,"China, P.R.: Hong Kong",Millions,,"431,355.10","424,534.05","441,247.55","491,649.02","496,745.19","423,908.38"
,"China, P.R.: Macao",Millions,,"20,169.66","20,281.24","22,214.95","25,144.94","26,664.87","25,970.92"
,"China, P.R.: Mainland",Millions,,"3,158,876.95","3,091,881.26","3,127,493.86","3,238,782.37","3,313,920.33","3,189,689.11"
,Colombia,Millions,,"46,699.12","47,358.57","51,973.47","58,247.76","57,745.11","56,431.56"
,"Comoros, Union of the",Millions,,207.13,198.47,201.15,293.25,328.62,282.70
,"Congo, Dem. Rep. of the",Millions,,695.40,665.27,"1,194.37",747.66,"3,467.12",...
,"Congo, Rep. of",Millions,,379.98,423.62,988.32,"1,140.50",828.56,...
,Costa Rica,Millions,,"7,149.83","7,500.92","8,937.07","7,231.53","6,921.17","8,554.01"
,"Croatia, Rep. of",Millions,,"18,818.22","19,991.30","20,770.64","23,253.82","28,308.83","29,613.93"
,Curaçao and Sint Maarten,Millions,,"1,475.07","1,321.44","1,282.38","1,624.56","1,769.87","1,620.03"
,Cyprus,Millions,,308.16,351.30,352.68,392.00,797.46,912.91
