Country,Code,Econ growth 2020,Econ growth 2021,Avg Econ Growth
Afghanistan,AFG,-2.35,-20.74,-11.545
Albania,ALB,-3.48,8.52,2.52
Algeria,DZA,-5.1,3.5,-0.8
Andorra,AND,-11.18,8.95,-1.115
Angola,AGO,-5.6,1.1,-2.25
Antigua and Barbuda,ATG,-20.19,5.27,-7.46
Argentina,ARG,-9.94,10.4,0.23
Armenia,ARM,-7.2,5.7,-0.75
Aruba,ABW,-18.59,17.17,-0.71
Australia,AUS,-0.05,2.24,1.095
Austria,AUT,-6.45,4.56,-0.945
Azerbaijan,AZE,-4.3,5.6,0.65
Bahamas,BHS,-23.82,13.72,-5.05
Bahrain,BHR,-4.94,2.23,-1.355
Bangladesh,BGD,3.45,6.94,5.195
Barbados,BRB,-13.31,-0.19,-6.75
Belarus,BLR,-0.7,2.3,0.8
Belgium,BEL,-5.36,6.13,0.385
Belize,BLZ,-13.4,15.23,0.915
Benin,BEN,3.85,7.16,5.505
Bermuda,BMU,-6.84,5.41,-0.715
Bhutan,BTN,-10.01,4.09,-2.96
Bolivia,BOL,-8.74,6.11,-1.315
Bosnia and Herzegovina,BIH,-3.12,7.55,2.215
Botswana,BWA,-8.73,11.37,1.32
Brazil,BRA,-3.88,4.62,0.37
Brunei,BRN,1.13,-1.59,-0.23
Bulgaria,BGR,-3.96,7.63,1.835
Burkina Faso,BFA,1.93,6.91,4.42
Burma (Myanmar),MMR,3.17,-17.91,-7.37
Burundi,BDI,0.33,1.8,1.065
Cambodia,KHM,-3.1,3.03,-0.035
Cameroon,CMR,0.26,3.65,1.955
Canada,CAN,-5.23,4.54,-0.345
Cape Verde,CPV,-14.78,6.95,-3.915
Central African Republic,CAF,0.9,0.9,0.9
Chad,TCD,-1.6,-1.2,-1.4
Chile,CHL,-5.98,11.67,2.845
China,CHN,2.24,8.11,5.175
Colombia,COL,-7.05,10.68,1.815
Comoros,COM,-0.2,2.11,0.955
Costa Rica,CRC,-4.05,7.58,1.765
Croatia,HRV,-8.58,13.07,2.245
Cyprus,CYP,-4.37,6.64,1.135
Czechia,CZE,-5.5,3.54,-0.98
Democratic Republic of the Congo,COD,1.74,6.2,3.97
Denmark,DNK,-1.99,4.86,1.435
Djibouti,DJI,1.2,4.81,3.005
Dominica,DMA,-16.6,6.68,-4.96
Dominican Republic,DOM,-6.72,12.27,2.775
Ecuador,ECU,-7.79,4.24,-1.775
Egypt,EGY,3.57,3.33,3.45
El Salvador,SLV,-8.18,10.28,1.05
