Country,ISO,Econ growth 2020,Econ growth 2021,Avg Econ Growth,Exports pct of GDP_2019,External debt pct GDP_2019,Corruption Index 100_2019,Int tourism pct GDP_2019
Afghanistan,AFG,-2.35,-20.74,-11.545,,13.94,16,0.45
Albania,ALB,-3.48,8.52,2.52,31.3,61.02,35,15.96
Algeria,DZA,-5.1,3.5,-0.8,22.71,3.28,35,0.08
Andorra,AND,-11.18,8.95,-1.115,,,,60.54
Angola,AGO,-5.6,1.1,-2.25,40.79,102.75,26,0.57
Antigua and Barbuda,ATG,-20.19,5.27,-7.46,70.88,,,58.78
Argentina,ARG,-9.94,10.4,0.23,17.92,64.52,45,1.26
Armenia,ARM,-7.2,5.7,-0.75,41.35,86.13,42,11.4
Aruba,ABW,-18.59,17.17,-0.71,73.02,,,62.6
Australia,AUS,-0.05,2.24,1.095,24.15,,77,3.44
Austria,AUT,-6.45,4.56,-0.945,55.76,,77,5.83
Azerbaijan,AZE,-4.3,5.6,0.65,49.05,34.21,30,4.16
Bahamas,BHS,-23.82,13.72,-5.05,35.69,,64,31.46
Bahrain,BHR,-4.94,2.23,-1.355,76.49,,42,9.99
Bangladesh,BGD,3.45,6.94,5.195,13.09,17.07,26,0.11
Barbados,BRB,-13.31,-0.19,-6.75,36.48,,62,
Belarus,BLR,-0.7,2.3,0.8,65.09,65.18,45,2
Belgium,BEL,-5.36,6.13,0.385,82.4,,75,1.97
Belize,BLZ,-13.4,15.23,0.915,51.25,77.31,,
Benin,BEN,3.85,7.16,5.505,29.63,27.51,41,1.67
Bermuda,BMU,-6.84,5.41,-0.715,51.74,,,8.1
Bhutan,BTN,-10.01,4.09,-2.96,33.94,117.25,68,4.73
Bolivia,BOL,-8.74,6.11,-1.315,24.97,35.71,31,2.39
Bosnia and Herzegovina,BIH,-3.12,7.55,2.215,40.59,63.09,36,6.06
Botswana,BWA,-8.73,11.37,1.32,37.15,9.89,61,4.27
Brazil,BRA,-3.88,4.62,0.37,14.12,31.32,35,0.33
Brunei,BRN,1.13,-1.59,-0.23,57.95,,60,
Bulgaria,BGR,-3.96,7.63,1.835,63.93,60.48,43,7.01
Burkina Faso,BFA,1.93,6.91,4.42,27.62,59.74,40,1.07
Burma (Myanmar),MMR,3.17,-17.91,-7.37,30.39,16.84,29,3.64
Burundi,BDI,0.33,1.8,1.065,5.17,24.03,19,
Cambodia,KHM,-3.1,3.03,-0.035,61.09,60.11,20,19.61
Cameroon,CMR,0.26,3.65,1.955,19.85,33.15,25,1.72
Canada,CAN,-5.23,4.54,-0.345,31.91,,77,
Cape Verde,CPV,-14.78,6.95,-3.915,50.65,93.89,58,28.61
Central African Republic,CAF,0.9,0.9,0.9,15.76,35.6,25,
Chad,TCD,-1.6,-1.2,-1.4,36.74,29.85,20,
Chile,CHL,-5.98,11.67,2.845,27.83,,67,1.18
China,CHN,2.24,8.11,5.175,18.41,14.85,41,
Colombia,COL,-7.05,10.68,1.815,15.87,43.95,37,2.1
Comoros,COM,-0.2,2.11,0.955,12.77,22.56,25,6.08
Costa Rica,CRC,-4.05,7.58,1.765,34.33,49.21,56,6.65
Croatia,HRV,-8.58,13.07,2.245,50.59,,47,19.21
Cyprus,CYP,-4.37,6.64,1.135,76.49,,58,12.51
Czechia,CZE,-5.5,3.54,-0.98,73.88,,56,3.15
Democratic Republic of the Congo,COD,1.74,6.2,3.97,25.87,15.46,18,
Denmark,DNK,-1.99,4.86,1.435,58.65,,87,
Djibouti,DJI,1.2,4.81,3.005,166.72,85.23,30,
Dominica,DMA,-16.6,6.68,-4.96,,46.16,55,
Dominican Republic,DOM,-6.72,12.27,2.775,23.07,40.25,28,
Ecuador,ECU,-7.79,4.24,-1.775,23.05,49.46,38,2.12
Egypt,EGY,3.57,3.33,3.45,17.5,39.2,35,4.7
El Salvador,SLV,-8.18,10.28,1.05,29.96,68,34,6.19
Equatorial Guinea,GNQ,-4.24,-0.95,-2.595,51.13,,16,
Estonia,EST,-0.55,8.01,3.73,73.88,,74,7.43
Ethiopia,ETH,6.06,5.64,5.85,7.94,29.77,37,3.68
Fiji,FJI,-17,-5.11,-11.055,48.13,26.64,,24.54
Finland,FIN,-2.21,2.97,0.38,39.88,,86,2.21
France,FRA,-7.78,6.82,-0.48,31.59,,69,2.59
Gabon,GAB,-1.84,1.46,-0.19,51.43,46.41,31,
Gambia,GMB,0.59,4.27,2.43,18.84,44.94,37,8.66
Georgia,GEO,-6.76,10.47,1.855,54.82,112.37,56,20.33
Germany,DEU,-3.7,2.63,-0.535,46.67,,80,1.5
Ghana,GHA,0.51,5.36,2.935,37.45,41.33,41,2.18
Greece,GRC,-9,8.43,-0.285,40.11,,48,11.21
Grenada,GRD,-13.76,4.69,-4.535,,48.04,53,
Guatemala,GTM,-1.76,7.98,3.11,17.61,33.11,26,1.59
Guinea,GIN,4.92,3.9,4.41,35.04,23.51,29,0.08
Guinea-Bissau,GNB,-2.4,3.8,0.7,20.29,47.06,18,1.31
Guyana,GUY,43.48,20.06,31.77,,29.85,40,
Haiti,HTI,-3.34,-1.8,-2.57,11.71,14.92,18,
Honduras,HND,-8.96,12.53,1.785,39.92,42.18,26,2.22
Hong Kong,HKG,-6.55,6.34,-0.105,177.66,,76,9.01
Hungary,HUN,-4.55,7.12,1.285,81.55,,44,6.24
Iceland,ISL,-6.84,4.4,-1.22,44.36,,78,
India,IND,-6.6,8.68,1.04,18.69,20,41,1.12
Indonesia,IDN,-2.07,3.69,0.81,18.59,37.06,40,1.64
Iran,IRN,3.33,4.72,4.025,23.48,1.67,26,
Iraq,IRQ,-11.32,2.78,-4.27,38.05,11.82,20,1.54
Ireland,IRL,6.18,13.59,9.885,127.88,,74,3.71
Israel,ISR,-1.86,8.61,3.375,29.3,,60,2.1
Italy,ITA,-9.04,6.74,-1.15,31.6,,53,2.58
Ivory Coast,CIV,1.98,7.04,4.51,23.78,34.81,35,0.94
