,,,,,,,
,Gross Domestic Product,,,,,,
,"Gross Domestic Product, Real, Domestic Currency",,,,,,
,,,,,,,
,Source: International Financial Statistics (IFS),,,,,,
,,,,,,,
,Country,2017,2018,2019,2020,2021,
,"Afghanistan, Islamic Rep. of","1,255,290.00","1,270,220.00","1,319,900.00","1,288,870.00","1,021,594.60",
,Albania,"1,452,767.58","1,511,159.33","1,542,707.99","1,488,996.60","1,615,792.12",
,Algeria,"7,364,674.94",...,...,...,...,
,"Andorra, Principality of","2,580.62","2,621.62","2,674.46","2,375.35","2,587.93",
,Angola,"16,525,200.00","19,856,325.45","25,447,765.46",...,...,
,Anguilla,640.22,693.81,734.97,515.42,526.16,
,Antigua and Barbuda,"3,274.43","3,499.83","3,670.00","2,928.94","3,083.29",
,Argentina,"726,389.90","707,377.40","693,223.80","624,294.90","689,210.70",
,Australia,"1,962,833.00","2,018,666.00","2,057,459.00","2,019,258.00","2,125,065.00",
,Austria,"325,243.45","333,131.86","338,186.76","316,360.29","330,776.36",
,"Bahamas, The","10,943.70","11,144.08","11,355.39","8,650.24","9,837.03",
,"Bahrain, Kingdom of","12,453.00","12,716.00","12,991.00","12,350.00","12,625.00",
,Bangladesh,"22,126,229.00","23,745,740.00","25,617,356.00","26,500,649.00","28,339,444.00",
,"Belarus, Rep. of","77,448.30","122,319.70","124,089.00","123,254.20","126,260.20",
,Belgium,"398,641.76","405,789.19","414,882.35","392,638.91","416,722.85",
,Belize,"4,349.53","4,398.36","4,595.93","3,980.43","4,585.79",
,Benin,"7,352,276.45","7,844,677.05","8,383,268.00","8,705,922.58","9,328,870.66",
,Bhutan,"66,017.05","68,033.94","71,949.41","64,747.49","67,394.12",
,Bosnia and Herzegovina,"28,847.48","29,926.40","30,773.62","29,813.70","31,931.14",
,Botswana,"171,180.75","178,352.94","183,761.67","167,725.87","186,796.34",
,Brazil,"1,168,801.00","1,189,648.50","1,204,171.50","1,164,713.70","1,222,819.50",
,Brunei Darussalam,"18,377.52","18,387.15","19,098.52","19,315.01","19,007.76",
,Bulgaria,"84,696.24","86,970.13","90,482.11","86,900.27","93,534.77",
,Burkina Faso,0.01,0.01,0.01,0.01,0.01,
,Burundi,"1,720,338.00","1,748,034.00","1,780,241.00","1,786,206.49","1,841,923.67",
,Cabo Verde,"152,336.92","159,239.55","168,264.86","143,389.58","153,358.67",
