,,,,,,,,,
,"Prices, Production, and Labor selected indicators",,,,,,,,
,Consumer Prices,,,,,,,,
,,,,,,,,,
,Source: International Financial Statistics (IFS),,,,,,,,
,,,,,,,,,
,Country,Scale,Base Year,2017,2018,2019,2020,2021,2022
,"Afghanistan, Islamic Rep. of",Units,2010=100,145.61,146.52,149.90,...,...,...
,Albania,Units,2010=100,115.06,117.39,119.05,120.98,123.45,131.75
,Algeria,Units,2010=100,142.38,148.46,151.36,155.02,166.22,181.62
,Angola,Units,2010=100,271.02,324.22,379.60,464.14,583.68,...
,Anguilla,Units,2010=100,105.86,106.26,107.12,106.61,108.53,...
,Antigua and Barbuda,Units,2010=100,112.45,113.81,115.44,116.16,118.56,127.48
,"Armenia, Rep. of",Units,2010=100,124.21,127.34,129.18,130.74,140.13,152.24
,"Aruba, Kingdom of the Netherlands",Units,2010=100,101.39,105.06,109.53,...,...,...
,Australia,Units,2010=100,115.69,117.90,119.80,120.81,124.27,132.47
,Austria,Units,2010=100,114.00,116.28,118.06,119.69,123.00,133.51
,"Azerbaijan, Rep. of",Units,2010=100,149.51,152.90,156.89,161.22,171.94,195.76
,"Bahamas, The",Units,2010=100,110.88,113.39,116.22,116.26,119.64,126.35
,"Bahrain, Kingdom of",Units,2010=100,115.18,117.59,118.77,116.02,115.32,119.50
,Bangladesh,Units,2010=100,161.23,170.16,179.68,189.91,200.44,215.86
,Barbados,Units,2010=100,124.25,128.81,134.09,...,...,...
,"Belarus, Rep. of",Units,2010=100,459.03,481.39,508.34,536.54,587.30,676.63
,Belgium,Units,2010=100,113.13,115.45,117.11,117.98,120.86,132.46
,Belize,Units,2010=100,105.68,105.96,106.16,106.29,109.73,...
,Benin,Units,2010=100,110.79,111.51,110.72,114.07,116.04,...
,Bhutan,Units,2010=100,158.43,162.75,167.18,176.59,189.57,...
,Bolivia,Units,2010=100,142.40,145.64,148.32,149.71,150.82,153.45
,Bosnia and Herzegovina,Units,2010=100,102.85,104.31,104.90,103.79,105.85,120.69
,Botswana,Units,2010=100,141.14,145.71,149.75,152.58,163.63,182.72
,Brazil,Units,2010=100,155.67,161.37,167.40,172.77,187.12,204.48
,Brunei Darussalam,Units,2010=100,98.41,99.42,99.03,100.95,102.70,106.48
,Bulgaria,Units,2010=100,107.94,110.97,114.42,116.33,120.17,138.58
,Burkina Faso,Units,2010=100,109.83,111.98,108.36,110.40,114.43,130.79
,Burundi,Units,2010=100,188.68,183.37,182.11,195.44,211.87,251.70
,Cabo Verde,Units,2010=100,107.94,109.29,110.50,111.17,113.24,...
,Cambodia,Units,2010=100,124.57,127.63,130.11,133.94,137.85,145.22
,Cameroon,Units,2010=100,114.58,115.81,118.65,121.54,124.30,132.07
