,country,ISO,region,north_south,year,population,GDP,inflation,unemployment,GDP Per Capita
0,Afghanistan,AFG,Asia & Pacific,Global South,2021,40099462,14786861638.4535,,5.57999992370605,368.75461417545955
1,Afghanistan,AFG,Asia & Pacific,Global South,2020,38972230,20143442150.971,,11.710000038147,516.8665521826953
2,Afghanistan,AFG,Asia & Pacific,Global South,2019,37769499,18904490262.913,2.30237251516844,,500.5226641452935
3,Afghanistan,AFG,Asia & Pacific,Global South,2018,36686784,18418848299.5825,0.626149149168811,,502.0567706229715
4,Albania,ALB,Europe,Global North,2021,2811666,18255787479.1846,2.04147163139546,,6492.872012246334
5,Albania,ALB,Europe,Global North,2020,2837849,15131866270.5936,1.62088661717004,,5332.160474568449
6,Albania,ALB,Europe,Global North,2019,2854191,15401830754.0773,1.41109078954248,11.4700002670288,5396.215864347305
7,Albania,ALB,Europe,Global North,2018,2866376,15156432309.8977,2.02805963071136,12.3000001907349,5287.663694469148
8,Algeria,DZA,Arab States,Global South,2021,44177969,163044443983.759,7.22606307415476,,3690.6278779759887
9,Algeria,DZA,Arab States,Global South,2020,43451666,145009181490.62,2.41513094083414,,3337.252511575045
10,Algeria,DZA,Arab States,Global South,2019,42705368,171767403748.19,1.95176821052894,,4022.150183747158
11,Algeria,DZA,Arab States,Global South,2018,41927007,174910878623.049,4.26999020467078,,4171.795010863738
12,American Samoa,ASM,Asia & Pacific,Global South,2021,45035,709000000.0,,,15743.310758299102
13,American Samoa,ASM,Asia & Pacific,Global South,2020,46189,716000000.0,,,15501.52633743965
14,American Samoa,ASM,Asia & Pacific,Global South,2019,47321,647000000.0,,,13672.576657298028
15,American Samoa,ASM,Asia & Pacific,Global South,2018,48424,639000000.0,,,13195.93589955394
16,Andorra,AND,Europe,Global North,2021,79034,3330281523.53915,,,42137.32727103715
17,Andorra,AND,Europe,Global North,2020,77700,2891022272.98687,,,37207.493860834875
18,Andorra,AND,Europe,Global North,2019,76343,3155065487.51819,,,41327.502030548836
19,Andorra,AND,Europe,Global North,2018,75013,3218316013.22626,,,42903.443579463026
20,Angola,AGO,Africa,Global South,2021,34503774,67404287260.3199,25.7542656453085,,1953.5337572150775
21,Angola,AGO,Africa,Global South,2020,33428486,53619073505.1377,22.2715643068877,,1603.9934774532626
22,Angola,AGO,Africa,Global South,2019,32353588,69309110145.7687,17.0797044074954,,2142.238757128536
