,country,ISO,year,population,GDP,inflation,unemployment,GDP_change,ConfirmedCases,ConfirmedDeaths,CasesPer1k,DeathsPer1k,PopulationVaccinated,StringencyIndex,GovernmentResponseIndex,ContainmentHealthIndex,EconomicSupportIndex
2,Afghanistan,AFG,2020,38972230.0,20143442150.971,,11.710000038147,5356580512.5175,52330.0,2189.0,1.320849784219134,0.0552520576658835,0.0,50.40087272727273,41.27552727272728,46.7698909090909,2.8181818181818183
3,Afghanistan,AFG,2021,40099462.0,14786861638.4535,,5.57999992370605,,158084.0,7356.0,3.895566564129709,0.1812693735339322,9.13,29.24221917808219,24.306739726027395,27.7813698630137,0.0
4,Albania,ALB,2018,2866376.0,15156432309.8977,2.02805963071136,12.3000001907349,-245398444.17959976,,,,,,,,,
5,Albania,ALB,2019,2854191.0,15401830754.0773,1.41109078954248,11.4700002670288,269964483.4836998,,,,,,,,,
28,Argentina,ARG,2018,44494502.0,524819742918.669,,9.22000026702881,77065133699.99103,,,,,,,,,
29,Argentina,ARG,2019,44938712.0,447754609218.678,,9.84000015258789,62214384590.38599,,,,,,,,,
30,Argentina,ARG,2020,45376763.0,385540224628.292,,11.460000038147,-101687114474.37799,1625514.0,43245.0,35.991665239079694,0.95751839926571,0.0,87.61752727272727,76.75356363636364,77.00541818181819,75.0
31,Argentina,ARG,2021,45808747.0,487227339102.67,,8.73999977111816,,5654408.0,117169.0,124.57404380182332,2.5813871475521104,67.62,66.84131506849316,64.28027397260274,67.11276712328767,44.45205479452055
32,Armenia,ARM,2018,2836557.0,12457941907.0333,2.52023382001631,13.210000038147,-1161349454.2481003,,,,,,,,,
33,Armenia,ARM,2019,2820602.0,13619291361.2814,1.44344660770702,12.1999998092651,977593837.9848003,,,,,,,,,
34,Armenia,ARM,2020,2805608.0,12641697523.2966,1.21143577838465,12.1800003051758,-1219712445.5383987,,,,,,,,,
40,Australia,AUS,2018,24966643.0,1428288504767.07,1.91140094445692,5.30000019073486,36060640369.98999,,,,,,,,,
41,Australia,AUS,2019,25340217.0,1392227864397.08,1.61076787290379,5.15999984741211,65326805273.87012,,,,,,,,,
42,Australia,AUS,2020,25655289.0,1326901059123.21,0.846905537459293,6.46000003814697,-225766304112.8501,28425.0,909.0,1.1019183574830165,0.035238127949061,0.0,64.10329696969697,60.12904242424243,59.34202828282828,65.63636363636364
43,Australia,AUS,2021,25688079.0,1552667363236.06,2.86391042204995,5.11999988555908,,425496.0,2253.0,16.336167470672176,0.0864999560781403,95.0,56.72220395738204,60.67946118721461,62.12586605783866,50.55555555555556
44,Austria,AUT,2018,8840521.0,454991174096.102,1.99837981429546,4.92999982833862,10369997995.554016,,,,,,,,,
45,Austria,AUT,2019,8879920.0,444621176100.548,1.53089564152645,4.55999994277954,9395938100.110962,,,,,,,,,
46,Austria,AUT,2020,8916864.0,435225238000.437,1.38191063351859,5.19999980926514,-45143165892.927,356063.0,7486.0,39.94223759003361,0.8397603530807516,0.0,56.43090909090909,62.57669090909091,58.58694545454546,90.5
47,Austria,AUT,2021,8955797.0,480368403893.364,2.76666666666665,6.46000003814697,,1270811.0,16815.0,142.3125886646339,1.883038609514569,73.43,61.54786301369863,73.85038356164384,70.11542465753425,100.0
48,Azerbaijan,AZE,2018,9939771.0,47112941176.4706,2.26854690374005,4.94000005722046,-1061294117.6470032,,,,,,,,,
49,Azerbaijan,AZE,2019,10024283.0,48174235294.1176,2.61057182799216,4.84999990463257,5481235294.1175995,,,,,,,,,
50,Azerbaijan,AZE,2020,10093121.0,42693000000.0,2.75980947008126,7.15999984741211,-11929176470.588203,218700.0,2641.0,21.24048718510031,0.2564980642700041,0.0,81.08214545454545,68.34,71.66665454545453,45.04545454545455
51,Azerbaijan,AZE,2021,10137750.0,54622176470.5882,6.65029912708779,5.94999980926514,,616947.0,8358.0,59.72606903842448,0.8091302575799086,45.15,65.46446575342465,60.81531506849315,67.80969863013699,11.849315068493151
52,Bahamas,BHS,2018,401906.0,12755800000.0,2.26586346678726,10.0,-437000000.0,,,,,,,,,
64,Barbados,BRB,2018,279688.0,5097283200.0,3.67381410406798,8.31999969482422,-226966800.0,,,,,,,,,
65,Barbados,BRB,2019,280180.0,5324250000.0,4.10028964518463,8.40999984741211,652450000.0,,,,,,,,,
68,Belarus,BLR,2018,9438785.0,60031262269.3365,4.87230220550689,4.76000022888184,-4378384924.4678955,,,,,,,,,
69,Belarus,BLR,2019,9419758.0,64409647193.8044,5.59815595039851,4.15999984741211,3038520779.6380997,,,,,,,,,
70,Belarus,BLR,2020,9379952.0,61371126414.1663,5.54814357456511,4.05000019073486,-6834254292.494598,194284.0,1424.0,20.22435581475213,0.148233939388766,0.0,32.61890909090909,34.37698181818182,39.2910909090909,0.0
71,Belarus,BLR,2021,9340314.0,68205380706.6609,9.46028389623105,3.90000009536743,,699110.0,5578.0,73.20601748835433,0.5840900080817618,33.86,34.249013698630144,37.23120547945205,42.1392602739726,2.8767123287671232
72,Belgium,BEL,2018,11427054.0,543299066998.902,2.05316499865181,5.94999980926514,7468190253.804993,,,,,,,,,
73,Belgium,BEL,2019,11488980.0,535830876745.097,1.43681956996435,5.3600001335144,10619066092.489014,,,,,,,,,
74,Belgium,BEL,2020,11538604.0,525211810652.608,0.740791812220385,5.55000019073486,-68892366886.91705,646496.0,19528.0,55.81825842502607,1.6860412910890543,0.0,61.76112727272728,61.58163636363636,59.60636363636364,75.4090909090909
75,Belgium,BEL,2021,11592952.0,594104177539.525,2.44024851144081,6.26000022888184,,2105343.0,28331.0,180.860841536821,2.4337927366608083,75.77,50.11495890410959,62.79980821917808,61.05873972602739,75.0
77,Belize,BLZ,2019,389095.0,2416500000.0,0.187069385181357,9.05000019073486,336500000.0,,,,,,,,,
79,Belize,BLZ,2021,400031.0,2491500000.0,3.23563659237067,10.1599998474121,,32840.0,602.0,81.56027488097514,1.4951061351506407,49.13,62.03216438356165,63.70449315068493,65.83328767123288,48.8013698630137
80,Benin,BEN,2018,11940683.0,14262408079.7014,0.644803622440778,1.47000002861023,-129278229.33160019,,,,,,,,,
88,Bhutan,BTN,2018,762096.0,2446866404.93058,2.72396386183716,3.34999990463257,-88790664.12478971,,,,,,,,,
89,Bhutan,BTN,2019,767459.0,2535657069.05537,2.72582104307304,2.72000002861023,210472587.6276698,,,,,,,,,
90,Bhutan,BTN,2020,772506.0,2325184481.4277,5.62999177986902,5.03000020980835,-214368503.2502699,670.0,0.0,0.8645072050869151,0.0,0.0,78.59443636363636,69.38661818181818,69.03901818181818,71.81818181818181
91,Bhutan,BTN,2021,777486.0,2539552984.67797,7.34683859830958,4.80000019073486,,2660.0,3.0,3.410409441449296,0.0038463264377247,72.22,58.23676712328766,66.6894794520548,65.55761643835616,74.62328767123287
92,Bolivia,BOL,2018,11606905.0,40287647930.4761,2.27205987230148,3.51999998092651,-607674913.3090057,,,,,,,,,
93,Bolivia,BOL,2019,11777315.0,40895322843.7851,1.83954504969032,3.6800000667572,4265479038.763504,,,,,,,,,
94,Bolivia,BOL,2020,11936162.0,36629843805.0216,0.940742153381823,7.90000009536743,-3778364723.138298,160124.0,9165.0,13.332580625876252,0.7631154694871215,0.0,83.81730909090909,63.65730909090909,67.99672727272727,33.27272727272727
95,Bolivia,BOL,2021,12079472.0,40408208528.1599,0.737383721452315,5.09000015258789,,599753.0,19680.0,49.36658807012876,1.6198909438054234,37.58,33.68230136986301,45.28246575342465,43.95358904109589,54.58904109589041
96,Bosnia and Herzegovina,BIH,2018,3400129.0,20183510863.0054,1.41710814018026,18.3999996185303,-18968674.513896942,,,,,,,,,
97,Bosnia and Herzegovina,BIH,2019,3360711.0,20202479537.5193,0.562782154061303,15.6899995803833,252008366.87279892,,,,,,,,,
98,Bosnia and Herzegovina,BIH,2020,3318407.0,19950471170.6465,-1.05129600763481,15.8699998855591,-3414890464.573601,110985.0,4050.0,33.67425795115723,1.2288214146252807,0.0,57.09341818181819,47.032545454545456,51.89890909090909,12.954545454545457
99,Bosnia and Herzegovina,BIH,2021,3270943.0,23365361635.2201,1.98163900587616,14.8999996185303,,291313.0,13442.0,89.74398075196123,4.141039326318643,22.29,38.78657534246575,43.32627397260274,43.09290410958904,44.965753424657535
101,Botswana,BWA,2019,2499702.0,16695928792.5697,2.7728644286333,20.0900001525879,1765856333.9883003,,,,,,,,,
102,Botswana,BWA,2020,2546402.0,14930072458.5814,1.89035916824198,21.0200004577637,-2684718807.101,14805.0,42.0,5.762352861501528,0.0163471003163163,0.0,61.38603636363637,51.603418181818185,52.92978181818182,42.31818181818182
104,Brazil,BRA,2018,210166592.0,1916947014067.55,3.66485028376724,12.3299999237061,43672581313.08008,,,,,,,,,
105,Brazil,BRA,2019,211782878.0,1873274432754.47,3.73297621216894,11.9399995803833,424714456536.28,,,,,,,,,
106,Brazil,BRA,2020,213196304.0,1448559976218.19,3.21176803803379,13.6999998092651,-160421480106.89014,7681032.0,195072.0,35.92159952057094,0.9122860393859594,0.0,74.89590976430976,62.77151245791246,65.04765656565657,46.84006734006734
107,Brazil,BRA,2021,214326223.0,1608981456325.08,8.30165975585676,13.1599998474121,,22291839.0,619334.0,103.76754312330849,2.882972892130216,79.46,58.43625773718924,53.29136478944698,58.25165296803653,18.569254185692543
112,Brunei Darussalam,BRN,2018,434274.0,13567351175.0315,1.02505179290213,8.69999980926514,97928216.52099991,,,,,,,,,
113,Brunei Darussalam,BRN,2019,438048.0,13469422958.5105,-0.390522069165492,6.59999990463257,1463597199.2875004,,,,,,,,,
114,Brunei Darussalam,BRN,2020,441725.0,12005825759.223,1.94031996607178,7.40999984741211,-2000743816.4570007,,,,,,,,,
115,Brunei Darussalam,BRN,2021,445373.0,14006569575.68,1.73341388450597,4.90999984741211,,,,,,,,,,
116,Bulgaria,BGR,2018,7025037.0,66363537115.2686,2.81454473824833,5.21000003814697,-2552338099.3851013,,,,,,,,,
117,Bulgaria,BGR,2019,6975761.0,68915875214.6537,3.10372944796774,4.23000001907349,-1324399795.542694,,,,,,,,,
118,Bulgaria,BGR,2020,6934015.0,70240275010.1964,1.67244096855762,5.11999988555908,-13816037724.112503,202266.0,7576.0,29.152879298322283,1.0919393944809783,0.0,48.40527272727273,46.90378181818182,43.96007272727273,67.5
119,Bulgaria,BGR,2021,6877743.0,84056312734.3089,3.29774435299511,5.26999998092651,,747108.0,30955.0,109.32827559503228,4.52980930607653,28.24,48.39558904109589,55.910493150684935,53.5025205479452,72.77397260273973
120,Burkina Faso,BFA,2018,20392723.0,15890065019.7634,1.95594302672532,4.69000005722046,-288097010.30600166,,,,,,,,,
126,Burundi,BDI,2020,12220227.0,2649671998.86192,7.32110643415513,1.02999997138977,-130141490.16254997,818.0,2.0,0.0660393413633297,0.0001614653823064,0.0,13.904036363636363,15.2688,16.468763636363636,6.863636363636363
129,Cambodia,KHM,2019,16207746.0,27089389786.979,1.94257500833109,0.5,1216591774.7851982,,,,,,,,,
136,Canada,CAN,2018,37065084.0,1725329192783.02,2.268225672481,5.82999992370605,-16685852699.29004,,,,,,,,,
137,Canada,CAN,2019,37601230.0,1742015045482.31,1.94926902411596,5.65999984741211,96591637913.94995,,,,,,,,,
138,Canada,CAN,2020,38037204.0,1645423407568.36,0.716999632307852,9.46000003814697,-342912924149.0598,590249.0,15736.0,15.525033181937811,0.4138963761920365,0.0,65.80587272727273,62.31927012987013,62.06107272727273,64.12337662337663
139,Canada,CAN,2021,38246108.0,1988336331717.42,3.39519318527532,7.46000003814697,,2223735.0,30320.0,58.07484640062536,0.7918341631835453,85.9,58.35503522504892,60.29037964774952,64.32269080234833,32.06213307240704
140,Cape Verde,CPV,2018,571202.0,1966501117.61028,1.25699566690509,12.1700000762939,-15344623.095870018,,,,,,,,,
141,Cape Verde,CPV,2019,577030.0,1981845740.70615,1.1066667429606,11.289999961853,278147064.0087302,,,,,,,,,
