country,date,Unemployment Rate,Population,Fiscal Balance,GDP per capita,GDP,Inflation,bot,interest,liquidity,debt,CPI,inflation
Advanced Economies,2017,0,0,0,0,0,0,0,0,"4,822,093.35",0,0,0
Advanced Economies,2018,0,0,0,0,0,0,0,0,"4,852,344.48",0,0,0
Advanced Economies,2019,0,0,0,0,0,0,0,0,"5,018,887.66",0,0,0
Advanced Economies,2020,0,0,0,0,0,0,0,0,"5,635,428.32",0,0,0
Advanced Economies,2021,0,0,0,0,0,0,0,0,"6,148,274.59",0,0,0
Afghanistan,2017,0,0,0,0,0,0,"-6,803.56",14.84,"7,185.84",8,0,145.61
Afghanistan,2018,52.39799881,...,1.634195741.634195741.63419574,1506.170312,55256544899,0.626149130.626149130.62614913,"-6,378.17",...,"7,305.68",7.38,0,146.52
Afghanistan,2019,35.22200012,..,-2.11616224,1001.045328,37808980526,2.302372532.30237253,"-5,855.06",...,"7,426.98",6.13,0,149.9
Afghanistan,2020,32.23400116,..,-4.48559878,1033.733104,40286884302,5.607005245.60700524,"-5,506.55",...,"8,419.49",7.4,0,...
Afghanistan,2021,40.45199966,37.26604080200237.266040802002,..,737.5092284,29573723277,..,...,...,...,7.6,0,...
Albania,2017,0,0,0,0,0,0,"-1,978.66",6.22,"3,523.76",70.12,0,115.06
Albania,2018,56.61000061,79.18479.184,0,10575.32739,812094,2.028059630711362.02805963071136,"-2,069.59",5.93,"3,829.48",67.61,0,117.39
Albania,2019,27.1609993,79.282,0,5396.215864,414791.6,1.41109079,"-2,103.43",6.28,"3,626.59",65.73,0,119.05
Albania,2020,30.84600067,76.989,0,5332.160475,410455.8,1.620886617,"-2,210.46",6.12,"4,647.19",74.45,0,120.98
Albania,2021,29.50499916,0,0,6492.872012,445982.8,2.041471631,"-2,392.17",6.02,"5,470.75",73.17,0,123.45
Algeria,2017,0,0,0,0,0,0,"-22,402.64",8,"97,614.43",26.81,0,142.38
Algeria,2018,53.84799957,3.0233.023,-8.8517086,8376.443515,4.6428267,4.26999024.2699902,"-15,701.39",8,"80,227.70",38.26,199.08,148.46
Algeria,2019,27.18700027,2.988,-5.57936114,4153.004816,2.23863163,1.95176821,"-15,707.64",8,"63,297.61",46.04,104.07,151.36
Algeria,2020,31.11300087,2.942,-6.73990492,3873.510015,2.49305348,2.41513094,"-17,445.13",8,"48,882.05",52.27,104.14,155.02
Algeria,2021,29.3409996,0,-3.78065149,3943.171983,1.93527893,7.22606307,"-2,546.28",8,"46,054.85",62.99,92.21,166.22
All Countries and International Organizations,2017,0,0,0,0,0,0,0,0,"11,797,903.50",0,0,0
All Countries and International Organizations,2018,0,0,0,0,0,0,0,0,"11,793,105.91",0,0,0
All Countries and International Organizations,2019,0,0,0,0,0,0,0,0,"12,195,293.90",0,0,0
All Countries and International Organizations,2020,0,0,0,0,0,0,0,0,"13,122,495.20",0,0,0
All Countries and International Organizations,2021,0,0,0,0,0,0,0,0,"13,943,974.47",0,0,0
American Samoa,2018,0,48424,0,13049.33015,13049.33015,0,0,0,0,0,0,0
American Samoa,2019,0,47321,0,13288.35656,13288.35656,0,0,0,0,0,0,0
American Samoa,2020,0,46189,0,14303.62703,14303.62703,0,0,0,0,0,0,0
American Samoa,2021,0,45035,0,14396.36856,14396.36856,0,0,0,0,0,0,0
Andorra,2017,0,0,0,0,0,0,...,0,0,0,0,0
Andorra,2018,0,7501375013,0,85806.88716,0,0,...,0,0,0,0,0
Andorra,2019,0,76343,0,41327.50203,0,0,302.8,0,0,0,0,0
Andorra,2020,0,77700,0,37207.49386,0,0,114.55,0,0,0,0,0
Andorra,2021,0,79034,0,42137.32727,0,0,...,0,0,0,0,0
Angola,2017,0,0,0,0,0,0,"7,341.50",15.81,"17,455.33",69.32,0,271.02
