country,date,Fiscal Balance,GDP per capita,GDP,Unemployment Rate,Inflation,Population,CPI,bot,inflation,interest,liquidity,debt
Aruba,2018,,31705.2790531117,3202234636.87151,,3.62604141352956,105962,3.62604141352956,287.4,,,,
Aruba,2018,,31705.2790531117,3202234636.87151,,3.62604141352956,105962,3.62604141352956,,105.06,6.00,852.08,
Aruba,2019,,31762.7340256358,3368970253.05286,,4.25746204335428,106442,4.25746204335428,321.66,109.53,5.70,830.00,
Afghanistan,2018,1.63419574,502.056770622973,18418848299.5825,17.4659996032715,0.62614913,.,,"-6,378.17",,,,
Afghanistan,2018,1.63419574,502.056770622973,18418848299.5825,17.4659996032715,0.62614913,.,,,146.52,...,"7,305.68",
Afghanistan,2018,1.63419574,502.056770622973,18418848299.5825,17.4659996032715,0.62614913,.,,,,,,7.38
Afghanistan,2019,-1.05808112,500.522664145294,18904490262.913,17.6110000610352,2.30237253,.,,"-5,855.06",149.9,...,"7,426.98",
Afghanistan,2019,-1.05808112,500.522664145294,18904490262.913,17.6110000610352,2.30237253,.,,,,,,6.13
Afghanistan,2020,-2.24279939,516.866552182696,20143442150.971,16.117000579834,5.60700524,.,,"-5,506.55",...,...,"8,419.49",
Afghanistan,2020,-2.24279939,516.866552182696,20143442150.971,16.117000579834,5.60700524,.,,,,,,7.4
Afghanistan,2021,.,368.754614175459,14786861638.4535,20.2259998321533,.,37.266040802002,,...,...,...,...,
Afghanistan,2021,.,368.754614175459,14786861638.4535,20.2259998321533,.,37.266040802002,,,,,,7.6
Angola,2018,,2677.17781589774,2677.17781589774,16.3430004119873,19.6305943641961,.,,"15,501.54",,,,
Angola,2018,,2677.17781589774,2677.17781589774,16.3430004119873,19.6305943641961,.,,,324.22,20.68,"15,410.41",93
Angola,2019,,2569.69134652945,2569.69134652945,16.2830009460449,17.0797044074954,.,,"12,880.81",379.6,19.30,"16,334.85",113.55
Angola,2020,,2347.78703247628,2347.78703247628,17.9669990539551,22.2715643068877,.,,"5,858.76",464.14,19.66,"13,781.99",136.54
Angola,2021,,2299.6405718262,2299.6405718262,17.5230007171631,25.7542656453085,72.2799987792969,,"14,829.79",583.68,19.40,"14,468.11",86.41
Albania,2018,,5287.66369446913,406047.0,28.3050003051758,2.02805963071136,79.184,,"-2,069.59",,,,
Albania,2018,,5287.66369446913,406047.0,28.3050003051758,2.02805963071136,79.184,,,117.39,5.93,"3,829.48",67.61
Albania,2019,,5396.21586434732,414791.6,27.1609992980957,1.41109078954248,79.282,,"-2,103.43",119.05,6.28,"3,626.59",65.73
Albania,2020,,5332.16047456847,410455.8,30.8460006713867,1.62088661717004,76.989,,"-2,210.46",120.98,6.12,"4,647.19",74.45
Albania,2021,,6492.87201224634,445982.8,29.5049991607666,2.04147163139546,,,"-2,392.17",123.45,6.02,"5,470.75",73.17
United Arab Emirates,2018,-24.42813721,43644.1470438183,70.24497182,6.66200017929077,3.06875526,.,,,116.78,,"99,194.48",
United Arab Emirates,2019,-20.42321447,43785.4172694435,81.48199235,7.40500020980835,-1.93143988,95.526481628418,,,114.52,,"107,258.08",
United Arab Emirates,2020,-21.17155078,41276.0555102387,106.82444671,14.1190004348755,-2.07880975,.,,,112.14,,"103,199.23",
United Arab Emirates,2021,-23.79571824,42535.9660450383,95.50850817,10.4930000305176,0.17957947,98.1263580322266,,,112.13,,"127,872.97",
Argentina,2018,-5.441,13105.397163317,997136.625,23.8299999237061,34.2772237131008,59727847975.8229,,"-9,678.50",,,,
Argentina,2018,-5.441,13105.397163317,997136.625,23.8299999237061,34.2772237131008,59727847975.8229,,,,48.52,"63,963.92",85.25
Argentina,2018,,,,,,59292008863.1895,,"-9,678.50",,,,
Argentina,2018,,,,,,59292008863.1895,,,,48.52,"63,963.92",85.25
Argentina,2018,,,,,,59691431134.4879,,"-9,678.50",,,,
Argentina,2018,,,,,,59691431134.4879,,,,48.52,"63,963.92",85.25
Argentina,2018,,,,,,53722711829.5582,,"-9,678.50",,,,
Argentina,2018,,,,,,53722711829.5582,,,,48.52,"63,963.92",85.25
Argentina,2018,,,,,,47589846417.6235,,"-9,678.50",,,,
Argentina,2018,,,,,,47589846417.6235,,,,48.52,"63,963.92",85.25
Argentina,2018,,,,,,59268250671.9376,,"-9,678.50",,,,
Argentina,2018,,,,,,59268250671.9376,,,,48.52,"63,963.92",85.25
Argentina,2018,,,,,,55501076655.0392,,"-9,678.50",,,,
Argentina,2018,,,,,,55501076655.0392,,,,48.52,"63,963.92",85.25
Argentina,2018,,,,,,50253506227.4346,,"-9,678.50",,,,
Argentina,2018,,,,,,50253506227.4346,,,,48.52,"63,963.92",85.25
Argentina,2018,,,,,,46531843578.0451,,"-9,678.50",,,,
Argentina,2018,,,,,,46531843578.0451,,,,48.52,"63,963.92",85.25
Argentina,2018,,,,,,51509982030.6521,,"-9,678.50",,,,
Argentina,2018,,,,,,51509982030.6521,,,,48.52,"63,963.92",85.25
Argentina,2018,,,,,,48729857771.9742,,"-9,678.50",,,,
Argentina,2018,,,,,,48729857771.9742,,,,48.52,"63,963.92",85.25
Argentina,2018,,,,,,63963922085.1007,,"-9,678.50",,,,
Argentina,2018,,,,,,63963922085.1007,,,,48.52,"63,963.92",85.25
Argentina,2019,-4.395,12716.2242038544,975569.0,25.8120002746582,53.5483043492342,64236209945.6428,,"13,390.55",,67.25,"42,192.53",88.84
Argentina,2019,,,,,,65128417192.9369,,"13,390.55",,67.25,"42,192.53",88.84
Argentina,2019,,,,,,63774752424.9024,,"13,390.55",,67.25,"42,192.53",88.84
Argentina,2019,,,,,,69032569005.4045,,"13,390.55",,67.25,"42,192.53",88.84
Argentina,2019,,,,,,62492178733.0216,,"13,390.55",,67.25,"42,192.53",88.84
Argentina,2019,,,,,,62018582102.9848,,"13,390.55",,67.25,"42,192.53",88.84
Argentina,2019,,,,,,64930707861.0265,,"13,390.55",,67.25,"42,192.53",88.84
Argentina,2019,,,,,,51158103467.7132,,"13,390.55",,67.25,"42,192.53",88.84
Argentina,2019,,,,,,45763519076.5473,,"13,390.55",,67.25,"42,192.53",88.84
Argentina,2019,,,,,,40264524747.3493,,"13,390.55",,67.25,"42,192.53",88.84
Argentina,2019,,,,,,40855223762.1055,,"13,390.55",,67.25,"42,192.53",88.84
Argentina,2019,,,,,,42192526746.9573,,"13,390.55",,67.25,"42,192.53",88.84
Armenia,2018,-1.75159516,4215.89945615491,40210.1953125,26.9810009002686,2.48593329,.,,"-1,752.74",,,,
Armenia,2018,-1.75159516,4215.89945615491,40210.1953125,26.9810009002686,2.48593329,.,,,127.34,12.79,"2,259.32",
Armenia,2018,-1.75159516,4215.89945615491,40210.1953125,26.9810009002686,2.48593329,.,,,,,,51.23
Armenia,2019,-0.97730094,4561.96786576599,43260.1953125,24.6089992523193,1.44278585,.,,"-1,808.98",129.18,12.14,"2,849.65",
Armenia,2019,-0.97730094,4561.96786576599,43260.1953125,24.6089992523193,1.44278585,.,,,,,,50.09
Armenia,2020,-5.40295567,4256.13129015707,,23.7600002288818,1.22648,99.7886123657227,,"-1,264.11",130.74,11.62,"2,615.53",
Armenia,2020,-5.40295567,4256.13129015707,,23.7600002288818,1.22648,99.7886123657227,,,,,,63.48
Armenia,2021,-4.58936665,4522.31910742549,,24.753999710083,7.20180576,,,"-1,107.86",140.13,11.76,"3,229.85",
Armenia,2021,-4.58936665,4522.31910742549,,24.753999710083,7.20180576,,,,,,,60.25
Antigua and Barbuda,2018,,17527.1696291931,1605944444.44444,,1.20715793367003,,,-94.94,,,,
Antigua and Barbuda,2018,,17527.1696291931,1605944444.44444,,1.20715793367003,,,,113.81,8.98,328.66,87.7
Antigua and Barbuda,2019,,18319.4560540762,1687533333.33333,,1.43135598182989,,,13.66,115.44,8.61,279.13,81.25
Antigua and Barbuda,2020,,14787.6357752901,1370281481.48148,,0.625989707046698,,,-148.47,116.16,7.68,221.81,101.48
Antigua and Barbuda,2021,,15781.3957017982,1471125925.92593,,2.06299638545331,,,-114.6,118.56,7.39,367.51,101.37
Australia,2018,-1.260,58481.0344237649,486951.0,5.5141625,1.91140094445692,24966643,104.573949384723,"15,601.72",,,,
Australia,2018,-1.260,58481.0344237649,486951.0,5.5141625,1.91140094445692,24966643,104.573949384723,,117.9,5.26,"51,077.09",32.92
Australia,2019,-4.403,58870.0216937531,496140.0,5.0584297,1.61076787290379,25340217,105.967030415602,"47,467.24",119.8,5.10,"55,603.58",36.54
Australia,2020,-8.758,58117.4520268812,504144.0,5.2746139,0.846905537459293,25655289,108.288832133736,"50,453.09",120.81,...,"39,152.00",43.73
Australia,2021,-6.454,59341.2377401658,511583.0,6.3422501,2.86391042204995,25688079,109.496169027165,"90,807.78",124.27,...,"53,789.56",43.95
