country,Scale,,date,,,
,,,2018,2019,2020,2021
"Afghanistan, Islamic Rep. of",Units,,...,...,11.71,5.58
Albania,Units,,12.31,11.47,11.68,...
Argentina,Units,,9.22,9.84,11.54,8.75
"Armenia, Rep. of",Units,,13.29,12.35,12.02,...
Australia,Units,,5.3,5.16,6.46,5.12
Austria,Units,,5.21,4.84,6.03,6.2
"Azerbaijan, Rep. of",Units,,4.94,4.85,7.16,5.95
"Belarus, Rep. of",Units,,4.76,4.16,4.05,3.93
Belgium,Units,,6.03,5.44,5.76,6.27
Benin,Units,,1.47,...,...,...
Bhutan,Units,,9.22,9.84,11.54,4.8
Bolivia,Units,,3.52,3.69,8.43,...
Bosnia and Herzegovina,Units,,36.01,33.37,33.8,32.38
Botswana,Units,,...,20.09,21.02,...
Brazil,Units,,12.26,11.93,13.49,13.5
Brunei Darussalam,Units,,8.7,6.6,7.41,4.91
Bulgaria,Units,,6.22,5.24,6.1,5.27
Burkina Faso,Units,,4.69,...,...,...
Burundi,Units,,...,...,1.03,...
Cabo Verde,Units,,12.17,11.29,...,...
Cambodia,Units,,...,0.5,...,...
Canada,Units,,5.83,5.67,9.5,7.47
Chad,Units,,1.13,...,...,...
Chile,Units,,7.22,7.29,11.33,9.37
"China, P.R.: Mainland",Units,,4.93,5.15,5.61,5.11
Colombia,Units,,9.13,9.97,15.18,13.9
"Congo, Dem. Rep. of the",Units,,...,...,1.47,...
Costa Rica,Units,,9.9,11.78,19.13,16.8
Côte d'Ivoire,Units,,...,2.4,...,...
"Croatia, Rep. of",Units,,8.4,6.64,7.76,7.64
Cyprus,Units,,8.42,7.11,7.63,7.52
Czech Rep.,Units,,2.27,2.02,2.55,2.81
Denmark,Units,,5.15,5.03,5.63,5.1
Dominican Rep.,Units,,5.86,6.18,6.08,...
Ecuador,Units,,3.53,3.81,6.11,4.5
"Egypt, Arab Rep. of",Units,,9.85,7.85,7.94,...
El Salvador,Units,,4.01,4.17,5.02,...
"Estonia, Rep. of",Units,,5.39,4.48,6.88,6.21
"Ethiopia, The Federal Dem. Rep. of",Units,,...,...,...,3.93
Finland,Units,,7.43,6.74,7.73,7.68
France,Units,,9.03,8.43,8.03,7.88
"Gambia, The",Units,,4.13,...,...,...
Georgia,Units,,12.67,11.56,11.09,...
Germany,Units,,3.21,2.98,3.63,3.58
Greece,Units,,19.74,17.88,17.62,14.79
Guatemala,Units,,2.28,2.19,...,...
Guinea,Units,,...,5.02,...,...
Guinea-Bissau,Units,,3.2,...,...,...
Guyana,Units,,14.02,13.52,...,...
Hungary,Units,,3.59,3.3,4.13,4.05
Iceland,Units,,3.1,3.93,6.43,6.01
India,Units,,7.65,6.54,7.91,...
Indonesia,Units,,4.39,3.59,4.25,3.83
"Iran, Islamic Rep. of",Units,,12.2,10.74,9.69,...
Iraq,Units,,...,...,...,16.17
Ireland,Units,,5.78,4.98,5.85,6.27
Israel,Units,,4,3.81,4.33,4.96
Italy,Units,,10.6,9.93,9.3,9.56
Jamaica,Units,,5.47,4.99,6.5,8.38
Japan,Units,,2.47,2.35,2.78,2.82
Jordan,Units,,18.27,16.82,19.21,19.85
"Kazakhstan, Rep. of",Units,,4.85,4.81,4.89,...
Kenya,Units,,...,5.01,...,...
Kiribati,Units,,...,8.56,...,...
"Korea, Rep. of",Units,,3.83,3.75,3.93,3.65
Kyrgyz Rep.,Units,,3.7,4.27,4.65,4.13
Latvia,Units,,7.4,6.32,8.09,7.58
Lebanon,Units,,...,11.3,...,...
"Lesotho, Kingdom of",Units,,...,16.88,...,...
Lithuania,Units,,6.18,6.28,8.52,7.13
Luxembourg,Units,,5.5,5.59,6.69,5.43
Malawi,Units,,...,...,0.91,...
Malaysia,Units,,3.35,3.31,6.03,...
Maldives,Units,,...,4.56,...,...
Mali,Units,,1.62,...,3.53,...
Malta,Units,,3.66,3.63,4.36,3.41
"Marshall Islands, Rep. of the",Units,,...,6.34,...,...
Mauritius,Units,,6.44,6.33,8.63,7.94
Mexico,Units,,3.28,3.48,4.47,4.1
"Moldova, Rep. of",Units,,1.25,1.51,1.21,0.8
Mongolia,Units,,5.36,9.22,6.61,7.78
Montenegro,Units,,15.21,15.13,17.95,...
Montserrat,Units,,...,...,8.33,...
Myanmar,Units,,5.07,5.09,11.54,...
Namibia,Units,,19.88,...,...,...
Nepal,Units,,9.22,9.84,11.54,...
"Netherlands, The",Units,,4.87,4.43,4.85,4.23
New Zealand,Units,,4.28,4.1,4.6,3.8
Nigeria,Units,,...,10.7,...,...
"North Macedonia, Republic of",Units,,21.21,17.39,16.55,15.78
Norway,Units,,3.99,3.88,4.75,4.46
Oman,Units,,1.8,...,2.94,...
Pakistan,Units,,4.65,4.83,...,6.34
Panama,Units,,5.31,6.41,18.55,10.29
Paraguay,Units,,5.67,5.65,6.93,...
Peru,Units,,6.46,6.4,7.19,...
Philippines,Units,,2.34,2.24,2.47,7.76
"Poland, Rep. of",Units,,3.88,3.31,3.22,3.38
Portugal,Units,,7.17,6.68,7.12,6.59
Qatar,Units,,0.11,0.1,0.14,0.14
Romania,Units,,5.25,4.89,6.08,5.61
Russian Federation,Units,,4.8,4.6,5.78,4.83
Rwanda,Units,,10.76,11.24,13.56,15.66
"San Marino, Rep. of",Units,,7.83,7.54,7.23,6.34
Saudi Arabia,Units,,6.03,5.64,7.65,6.62
Senegal,Units,,3.57,2.88,...,...
"Serbia, Rep. of",Units,,12.76,10.4,8.99,10.09
Seychelles,Units,,3.53,2.94,4.32,...
